market_year,division,P_EV_given_division
2015,Mountain,0.0025321631520997495
2015,North Central,0.000978745286713768
2015,North East,0.001332168736860986
2015,Pacific,0.011956309116019255
2015,South Atlantic,0.0032481864547589147
2015,South Central,0.0008547398364507689
2016,Mountain,0.003384203877726892
2016,North Central,0.001416297279006082
2016,North East,0.001893682351408785
2016,Pacific,0.01354035262455601
2016,South Atlantic,0.002027232525584141
2016,South Central,0.0010498328964206288
2017,Mountain,0.004603958245862952
2017,North Central,0.0018785571088357573
2017,North East,0.0031088754140349488
2017,Pacific,0.018966066335786902
2017,South Atlantic,0.0025849858064927564
2017,South Central,0.001344841407283001
2018,Mountain,0.010350548097317627
2018,North Central,0.004119384058727924
2018,North East,0.0070045751184321745
2018,Pacific,0.037143418799024996
2018,South Atlantic,0.006685129572489812
2018,South Central,0.0036657860436925555
2019,Mountain,0.014480521445281211
2019,North Central,0.005432809158095201
2019,North East,0.008924148260821375
2019,Pacific,0.04411776491667955
2019,South Atlantic,0.0094937118586965
2019,South Central,0.004947744282794509
2020,Mountain,0.018084130520246364
2020,North Central,0.007496433141169303
2020,North East,0.013258017018501832
2020,Pacific,0.05020647266958095
2020,South Atlantic,0.012369085180257313
2020,South Central,0.005800549316866838
2021,Mountain,0.0318153229909197
2021,North Central,0.014553589489103212
2021,North East,0.02487225715698603
2021,Pacific,0.08256727704055156
2021,South Atlantic,0.024448914343979413
2021,South Central,0.013552770393984892
2022,Mountain,0.055210546156271016
2022,North Central,0.025740906050641953
2022,North East,0.04083071108686498
2022,Pacific,0.14264577543651924
2022,South Atlantic,0.04169553493525568
2022,South Central,0.024090818841520853
2023,Mountain,0.07632907556637546
2023,North Central,0.03525077620851573
2023,North East,0.061227413882678175
2023,Pacific,0.1914481911850877
2023,South Atlantic,0.06032251483651078
2023,South Central,0.03768219456838489
2024,Mountain,0.08931616063120332
2024,North Central,0.03869981640423627
2024,North East,0.06330113894953941
2024,Pacific,0.18878291354295884
2024,South Atlantic,0.06274130740815378
2024,South Central,0.03483335242871856
